"CSDUID","Deprivation","EthnicCon","Name","under20","20s","30s","40s","50s","60s","70s","over80","DeprivationModifier","EthnicModifier"
3549022,5,3,"Burk's Falls (VL)",7.67097519773606e-05,5.96506178099702e-05,6.17598014275337e-05,5.82697222199099e-05,6.62397880326783e-05,9.18593601520431e-05,0.000103355237390661,8.45530105099392e-05,0.928687915673553,0.242733923355498
3549024,4,1,"Ryerson (TP)",2.5014049557835e-05,3.4086067319983e-05,2.94094292512065e-05,3.60717328028014e-05,6.13331370672947e-05,0.000107697180867913,8.15962400452587e-05,3.38212042039757e-05,0.0509556829395033,0.132321125759746
3549028,2,1,"McKellar (TP)",4.5025289204103e-05,3.69265729299815e-05,4.11732009516891e-05,5.82697222199099e-05,0.000105492995755747,0.000183718720304086,0.000201270725444971,8.45530105099392e-05,0.00546212244529098,0.132321125759746
3549031,2,3,"McDougall (MU)",0.000178433553512556,0.000130663258059935,0.000152929032106274,0.000172034417982591,0.000228159269890336,0.000307253721887868,0.000326384960181035,0.000202927225223854,0.00546212244529098,0.242733923355498
3549032,5,3,"Parry Sound (T)",0.000378545949975236,0.000428916347109786,0.000364676922714961,0.00036904157405943,0.000478398469124899,0.00061767500791891,0.000718046912398277,0.00107382323347623,0.928687915673553,0.242733923355498
3549036,2,1,"Carling (TP)",5.002809911567e-05,5.11291009799744e-05,4.41141438768098e-05,6.10444708970485e-05,0.000115306297686514,0.000155210643015521,0.000179511728099569,9.30083115609331e-05,0.00546212244529098,0.132321125759746
3549039,4,1,"Whitestone (MU)",2.66816528616907e-05,2.84050560999858e-05,2.35275434009652e-05,4.99454761884942e-05,0.000107946321238439,0.000152043078872347,0.000152312981417816,9.30083115609331e-05,0.0509556829395033,0.132321125759746
3549043,5,1,"Magnetawan (MU)",5.83661156349483e-05,5.96506178099702e-05,5.8818858502413e-05,7.21434656056028e-05,0.000132479576065357,0.000205891669306303,0.000206710474781322,0.000152195418917891,0.928687915673553,0.132321125759746
3549046,4,3,"Strong (TP)",8.33801651927833e-05,7.95341570799602e-05,7.05826302028957e-05,8.3242460314157e-05,0.000120212948651898,0.000183718720304086,0.000179511728099569,0.000118374214713915,0.0509556829395033,0.242733923355498
3549048,5,1,"Sundridge (VL)",5.83661156349483e-05,4.54480897599773e-05,4.70550868019304e-05,5.27202248656328e-05,7.35997644807537e-05,0.000104529616724739,0.000146873232081466,0.000126829515764909,0.928687915673553,0.132321125759746
3549051,5,5,"Joly (TP)",1.83436363424123e-05,8.52151682999574e-06,1.17637717004826e-05,1.942324073997e-05,2.69865803096097e-05,5.70161545771302e-05,3.26384960181035e-05,1.69106021019878e-05,0.928687915673553,0.0581201710039534
3549054,5,1,"Machar (TP)",4.16900825963916e-05,3.12455617099844e-05,3.23503721763272e-05,5.27202248656328e-05,7.85064154461372e-05,0.000133037694013304,0.000157752730754167,7.60977094589453e-05,0.928687915673553,0.132321125759746
3549056,5,2,"South River (VL)",7.67097519773606e-05,7.95341570799602e-05,6.7641687277775e-05,6.93687169284642e-05,8.34130664115208e-05,0.000110864745011086,0.000114234736063362,8.45530105099392e-05,0.928687915673553,0.169346756980225
3549060,3,4,"Powassan (MU)",0.000230129255932082,0.000167589830989916,0.000202925061833325,0.00023307888887964,0.000279679105026864,0.000319923978460564,0.000369902954871839,0.000498862762008641,0.0134241486659534,0.397478022900578
3549066,1,3,"Callander (MU)",0.000263481322009195,0.000167589830989916,0.000235275434009652,0.000302447605808104,0.000355732194990309,0.000405448210326259,0.000364463205535489,0.000202927225223854,0.00147013027569939,0.242733923355498
3549071,3,3,"Nipissing (TP)",0.00010005619823134,7.10126402499645e-05,9.11692306787402e-05,0.000122088941794097,0.000159466156374966,0.000221729490022173,0.000179511728099569,0.000109918913662921,0.0134241486659534,0.242733923355498
3549096,5,1,"Parry Sound, Unorganized, Centre Part (NO)",6.5036528850371e-05,5.3969606589973e-05,6.47007443526543e-05,8.87919576684342e-05,0.000220799293442261,0.00037377256889452,0.000397101701553592,0.000279024934682799,0.928687915673553,0.132321125759746
3551001,5,2,"Tehkummah (TP)",1.83436363424123e-05,1.13620224399943e-05,5.8818858502413e-06,2.77474867713857e-05,4.17065332057604e-05,7.91891035793475e-05,6.5276992036207e-05,4.22765052549696e-05,0.928687915673553,0.169346756980225
